epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1556.92,1.23203,0.84022,1.00528,0.64181,0.48061,0.54207,0.36349,1.18009,0.70282,0.96729,0.00333295,0.00333295,0.00333295
2,2816.17,1.23281,0.78436,1.00437,0.68284,0.49306,0.5674,0.38495,1.16278,0.67526,0.9641,0.00660029,0.00660029,0.00660029
3,4035.48,1.24184,0.78924,1.01042,0.68262,0.49815,0.57614,0.39122,1.15846,0.66348,0.96918,0.00980163,0.00980163,0.00980163
4,5253.59,1.22827,0.77074,1.00654,0.678,0.51909,0.58843,0.40162,1.14178,0.64564,0.96031,0.009703,0.009703,0.009703
5,6467.42,1.20489,0.74442,0.99703,0.71036,0.515,0.59916,0.4108,1.1343,0.63139,0.95663,0.009604,0.009604,0.009604
6,7923.53,1.191,0.7282,0.99168,0.69995,0.52978,0.60807,0.418,1.12849,0.62334,0.95405,0.009505,0.009505,0.009505
7,9330.34,1.18256,0.71763,0.98756,0.70152,0.52842,0.61191,0.42229,1.12389,0.61722,0.95189,0.009406,0.009406,0.009406
8,10733.6,1.17681,0.71204,0.98421,0.71093,0.52932,0.61447,0.42462,1.12054,0.61181,0.94958,0.009307,0.009307,0.009307
9,12272.2,1.17004,0.70376,0.98203,0.70905,0.53805,0.61874,0.42879,1.11781,0.60787,0.94888,0.009208,0.009208,0.009208
10,13499.5,1.16574,0.69966,0.98042,0.70883,0.53835,0.6209,0.43086,1.11609,0.60528,0.94821,0.009109,0.009109,0.009109
11,14720.6,1.16243,0.69613,0.97735,0.71437,0.53665,0.62246,0.43194,1.11464,0.60288,0.94687,0.00901,0.00901,0.00901
12,16226.3,1.15696,0.69122,0.97565,0.71562,0.53877,0.62391,0.43307,1.11339,0.60103,0.94595,0.008911,0.008911,0.008911
13,17728.2,1.15876,0.69037,0.97565,0.71598,0.53948,0.62545,0.43429,1.11251,0.60006,0.94506,0.008812,0.008812,0.008812
14,19095.1,1.15467,0.68819,0.97381,0.71515,0.54167,0.62644,0.43516,1.1116,0.59907,0.9445,0.008713,0.008713,0.008713
15,20331.6,1.15291,0.68535,0.97339,0.71569,0.54176,0.62738,0.43551,1.11073,0.59793,0.94388,0.008614,0.008614,0.008614
16,21596.7,1.15171,0.68322,0.97255,0.71946,0.53903,0.62792,0.43637,1.11008,0.59718,0.94344,0.008515,0.008515,0.008515
17,22814.2,1.14818,0.68021,0.97123,0.71992,0.5391,0.62819,0.43648,1.10932,0.59619,0.94294,0.008416,0.008416,0.008416
18,24128.2,1.14714,0.67996,0.97039,0.7189,0.54023,0.62851,0.43692,1.10866,0.59543,0.9424,0.008317,0.008317,0.008317
19,25501,1.14709,0.6772,0.97067,0.72115,0.53999,0.62908,0.43737,1.10805,0.59474,0.94199,0.008218,0.008218,0.008218
20,26724.1,1.14345,0.67541,0.96905,0.72326,0.53927,0.62976,0.43801,1.10757,0.59406,0.9416,0.008119,0.008119,0.008119
21,27961.4,1.14571,0.67667,0.96906,0.72181,0.54201,0.63037,0.43879,1.10676,0.59337,0.94104,0.00802,0.00802,0.00802
22,29184.3,1.14464,0.67435,0.96905,0.71905,0.54175,0.63125,0.43935,1.10645,0.59274,0.94075,0.007921,0.007921,0.007921
23,30399.3,1.14073,0.67153,0.96767,0.71577,0.54459,0.63122,0.43977,1.10589,0.59216,0.94042,0.007822,0.007822,0.007822
24,31618.5,1.14085,0.6709,0.96686,0.71187,0.54703,0.63247,0.4401,1.10552,0.59152,0.94013,0.007723,0.007723,0.007723
25,32840.7,1.13968,0.67039,0.96664,0.71386,0.54653,0.63274,0.44057,1.10531,0.59088,0.93982,0.007624,0.007624,0.007624
26,34084,1.13941,0.66906,0.96685,0.7133,0.54782,0.63379,0.44118,1.10504,0.59017,0.93941,0.007525,0.007525,0.007525
27,35301.7,1.14096,0.66942,0.96643,0.71124,0.54994,0.6343,0.44201,1.10466,0.58965,0.93899,0.007426,0.007426,0.007426
